"domain","concept_id","concept_name","cond","drug_comb","cov_cond","cov_drug","exclude","meas","factor_con","factor_drug"
condition,320128,Essential hypertension,htn,NULL,NULL,NULL,NULL,NULL,NULL,NULL
condition,4028741,Benign hypertension,htn,NULL,NULL,NULL,NULL,NULL,NULL,NULL
condition,316866,Hypertensive disorder,htn,NULL,NULL,NULL,NULL,NULL,NULL,NULL
drug,1363058,Doxazosin 2 MG Oral Tablet,NULL,others,NULL,NULL,NULL,NULL,NULL,NULL
drug,1363059,Doxazosin 4 MG Oral Tablet,NULL,others,NULL,NULL,NULL,NULL,NULL,NULL
drug,1341271,Terazosin 2 MG Oral Tablet,NULL,others,NULL,NULL,NULL,NULL,NULL,NULL
drug,19079718,Terazosin 5 MG Oral Tablet,NULL,others,NULL,NULL,NULL,NULL,NULL,NULL
drug,19074672,Captopril 12.5 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,1340161,Captopril 25 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,19074673,Captopril 50 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,40165789,Enalapril Maleate 5 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,40165762,Enalapril Maleate 10 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,40163271,Perindopril Erbumine 4 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,40163275,Perindopril Erbumine 8 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,1334461,Ramipril 2.5 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,1334492,Ramipril 5 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,19102170,Ramipril 10 MG Oral Tablet,NULL,acei,NULL,NULL,NULL,NULL,NULL,NULL
drug,1351559,Candesartan cilexetil 8 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1351583,Candesartan cilexetil 16 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1351587,Candesartan cilexetil 32 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19076924,eprosartan 600 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19022948,Irbesartan 150 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19022949,Irbesartan 300 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40185304,Losartan Potassium 50 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40185276,Losartan Potassium 100 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19102171,Olmesartan medoxomil 10 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19096740,Olmesartan medoxomil 20 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19096752,Olmesartan medoxomil 40 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19028935,Telmisartan 40 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19028936,Telmisartan 80 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1308851,Valsartan 80 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19096678,Valsartan 160 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19096677,Valsartan 320 MG Oral Tablet,NULL,arb,NULL,NULL,NULL,NULL,NULL,NULL
drug,41080575,Amlodipine / Losartan Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,43749671,Amlodipine / candesartan Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,21141332,Amlodipine 5 MG / Valsartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1332527,Amlodipine 5 MG / Valsartan 160 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,1332525,Amlodipine 10 MG / Valsartan 160 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40167838,Amlodipine / telmisartan Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40167849,Amlodipine 5 MG / Telmisartan 40 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40167852,Amlodipine 5 MG / Telmisartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40167843,Amlodipine 10 MG / telmisartan 40 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19127433,Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19127434,Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,19127432,Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,40224172,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet,NULL,arb_ccb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,40224175,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,NULL,arb_ccb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,40224166,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,NULL,arb_ccb_du,NULL,NULL,NULL,NULL,NULL,NULL
drug,2064532,amlodipine 5 MG / rosuvastatin 5 MG / telmisartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2064498,amlodipine 5 MG / rosuvastatin 10 MG / telmisartan 80 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2064586,amlodipine 5 MG / rosuvastatin 5 MG / telmisartan 40 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969118,Amlodipine 5 MG / Losartan 50 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969109,Amlodipine 5 MG / Losartan 100 MG / rosuvastatin 5 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969112,Amlodipine 5 MG / Losartan 50 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969102,Amlodipine 5 MG / Losartan 100 MG / rosuvastatin 10 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969106,Amlodipine 5 MG / Losartan 100 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,42969115,Amlodipine 5 MG / Losartan 50 MG / rosuvastatin 20 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
drug,2064553,amlodipine 5 MG / rosuvastatin 10 MG / telmisartan 40 MG Oral Tablet,NULL,arb_ccb,NULL,NULL,NULL,NULL,NULL,NULL
